Date,spy
2001-10-03,70.01686096191406
2001-10-04,70.0755615234375
2001-10-05,69.93862915039062
2001-10-08,69.48204040527344
2001-10-09,69.11024475097656
2001-10-10,70.6495132446289
2001-10-11,71.74526977539062
2001-10-12,71.41917419433594
2001-10-15,71.28873443603516
2001-10-16,71.7387466430664
2001-10-17,70.21251678466797
2001-10-18,70.06250762939453
2001-10-19,70.01686096191406
2001-10-22,71.39959716796875
2001-10-23,71.03435516357422
2001-10-24,70.84521484375
2001-10-25,72.11705017089844
2001-10-26,71.95396423339844
2001-10-29,70.08207702636719
2001-10-30,69.24073028564453
2001-10-31,69.00593566894531
2001-11-01,70.77346801757812
2001-11-02,71.25611877441406
2001-11-05,72.18878173828125
2001-11-06,73.31062316894531
2001-11-07,73.2127914428711
2001-11-08,73.44107055664062
